doc	source_file	pmid	field	kind	entity_id	label	original_spans	context	relationship_subject_id	relationship_subject_label	chemical_relationship	chemical_level_type	chemical_base_label	chebi_label	chemicals_utilized	study_taxa	strains	chemical_relationship_id	chemical_relationship_label	chemical_relationship_match_type	grounded_id	grounded_ids	kg_name	kg_category	match_type	kg_edge_count	kg_edge_evidence
1	00001-41779015-abstract.txt	41779015	study_taxa	taxon_candidate	AUTO:Gardnerella%20phocaeensis	Gardnerella phocaeensis	1983:2006	...in: Marseille-Q2328T=CSUR Q2328T=CECT 30239T) and [[Gardnerella phocaeensis]] sp. nov. (type strain: Marseille-Q9179T=CSUR Q917...							0	1	0									0	
1	00001-41779015-abstract.txt	41779015	study_taxa	taxon_candidate	AUTO:Gardnerella%20vaginalis	Gardnerella vaginalis	1040:1061	...T, Marseille-QA0894T and Marseille-Q2328T against [[Gardnerella vaginalis]] 1400E (genomic species 2), G. vaginalis 6119V5 (g...							0	1	0				NCBITaxon:2702	NCBITaxon:2702	Gardnerella vaginalis	biolink:OrganismTaxon	name	309	out:biolink:subclass_of:NCBITaxon:2701|out:METPO:2000517:mediadive.medium:693|out:METPO:2000517:mediadive.medium:215|out:biolink:has_phenotype:METPO:1000667|out:biolink:has_phenotype:METPO:1000872
2	00002-41774080-abstract.txt	41774080	strains	strain	AUTO:C271T	C271T	287:292; 476:481; 576:581; 2004:2009	"...UK. Polyphasic characterization of three strains ([[C271T]], D105 and J117) of the proposed species indicated...; ...us. The average nucleotide identity (ANI) between [[C271T]] and other L3 species ranged between 88.8 and 90.6...; ... 90.6%, supporting the proposal of a new species. [[C271T]] shared ANIs approaching 96% with other members of...; ...ogens. The type strain of B. bennetti sp. nov. is [[C271T]] (CSUR B1113T, NCTC 15117T).
"							0	0	1									0	
2	00002-41774080-abstract.txt	41774080	strains	strain	AUTO:CSUR%20B1113T	CSUR B1113T	2011:2022	"...The type strain of B. bennetti sp. nov. is C271T ([[CSUR B1113T]], NCTC 15117T).
"							0	0	1									0	
2	00002-41774080-abstract.txt	41774080	strains	strain	AUTO:D105	D105	294:298	...yphasic characterization of three strains (C271T, [[D105]] and J117) of the proposed species indicated that ...							0	0	1									0	
2	00002-41774080-abstract.txt	41774080	strains	strain	AUTO:J117	J117	303:307	...haracterization of three strains (C271T, D105 and [[J117]]) of the proposed species indicated that they were...							0	0	1									0	
2	00002-41774080-abstract.txt	41774080	strains	strain	AUTO:NCTC%2015117T	NCTC 15117T	2024:2035	"...in of B. bennetti sp. nov. is C271T (CSUR B1113T, [[NCTC 15117T]]).
"							0	0	1									0	
2	00002-41774080-abstract.txt	41774080	study_taxa	taxon_candidate	AUTO:Bartonella%20bennetti	Bartonella bennetti	113:132	...re haemoparasites of mammals. Herein, we describe [[Bartonella bennetti]] sp. nov., a novel member of the genus, isolated f...							0	1	0									0	
2	00002-41774080-abstract.txt	41774080	study_taxa	taxon_candidate	AUTO:Bartonella%20genus	Bartonella genus	1092:1108	...like configuration not previously observed in the [[Bartonella genus]]. This integration could facilitate large-scale ch...							0	1	0									0	
3	00003-41773501-abstract.txt	41773501	strains	strain	AUTO:Ax23T	Ax23T	183:188; 317:322; 1003:1008; 1210:1215; 1322:1327	"...ean. A thermophilic methanogen, designated strain [[Ax23T]], was isolated from this fluid. The archaeon was a...; ...coidal and grew separately on H2/CO2 and formate. [[Ax23T]] grew on NH4 + and by fixing N2, but did not grow ...; ...kingdom Methanobacteriati. The complete genome of [[Ax23T]] was sequenced, which yielded a 1,662,948 bp chrom...; ...alyses and its phenotypic characteristics, strain [[Ax23T]] represents a novel species, for which the name Me...; ...ermococcus jasoni is proposed. The type strain is [[Ax23T]] (=DSM 118471T=JCM39656T).
"							0	0	1									0	
3	00003-41773501-abstract.txt	41773501	strains	strain	AUTO:DSM%20118471T	DSM 118471T	1330:1341	"...us jasoni is proposed. The type strain is Ax23T (=[[DSM 118471T]]=JCM39656T).
"							0	0	1									0	
3	00003-41773501-abstract.txt	41773501	strains	strain	AUTO:JCM39656T	JCM39656T	1342:1351	"... proposed. The type strain is Ax23T (=DSM 118471T=[[JCM39656T]]).
"							0	0	1									0	
3	00003-41773501-abstract.txt	41773501	study_taxa	taxon_candidate	AUTO:Methanococcaceae	Methanococcaceae	929:945	...tical to other thermophilic species of the family [[Methanococcaceae]] in the kingdom Methanobacteriati. The complete ge...							0	1	0				NCBITaxon:2183	NCBITaxon:2183	Methanococcaceae	biolink:OrganismTaxon	name	4	in:biolink:subclass_of:NCBITaxon:155862|out:biolink:subclass_of:NCBITaxon:2182|in:biolink:subclass_of:NCBITaxon:2184|in:biolink:subclass_of:NCBITaxon:412881
3	00003-41773501-abstract.txt	41773501	study_taxa	taxon_candidate	AUTO:Methanothermococcus%20jasoni	Methanothermococcus jasoni	1263:1289	...3T represents a novel species, for which the name [[Methanothermococcus jasoni]] is proposed. The type strain is Ax23T (=DSM 11847...							0	1	0									0	
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:CH4	CH4	633:636	...ased its growth yield (cells produced per mole of [[CH4]] produced) when grown on 10 kPa H2 relative to 160...	AUTO:Ax23T	Ax23T	produces	chemical_name	CH4	CH4	1	0	0	METPO:2000202	produces	label	CHEBI:16183	CHEBI:16183	methane	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	83	out:biolink:subclass_of:CHEBI:138675|out:biolink:subclass_of:CHEBI:18310|out:biolink:subclass_of:CHEBI:37176|out:biolink:subclass_of:CHEBI:64708|out:biolink:related_to:CHEBI:35230
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:CO2	CO2	300:303	...totrophic and coccoidal and grew separately on H2/[[CO2]] and formate. [[Ax23T]] grew on NH4 + and by fixing N2...	AUTO:Ax23T	Ax23T	uses_as_carbon_source	chemical_name	CO2	CO2	1	0	0	METPO:2000006	uses as carbon source	label	CHEBI:16526	CHEBI:16526	carbon dioxide	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	4406	out:biolink:subclass_of:CHEBI:138675|out:biolink:subclass_of:CHEBI:23014|out:biolink:subclass_of:CHEBI:64708|out:biolink:related_to:CHEBI:35620|out:biolink:has_chemical_role:CHEBI:35620
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:formate	formate	308:315	...c and coccoidal and grew separately on H2/CO2 and [[formate]]. [[Ax23T]] grew on NH4 + and by fixing N2, but did no...	AUTO:Ax23T	Ax23T	uses_as_carbon_source	chemical_name	formate	formate	1	0	0	METPO:2000006	uses as carbon source	label	CHEBI:15740	CHEBI:15740|CHEBI:52343	formate	biolink:ChemicalEntity|biolink:SmallMolecule	name	1250	out:biolink:subclass_of:CHEBI:35757|out:biolink:related_to:CHEBI:75772|out:biolink:related_to:CHEBI:77746|out:biolink:related_to:CHEBI:30751|in:biolink:related_to:CHEBI:62965
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:H2	H2	297:299; 668:670; 691:693; 763:765	... autotrophic and coccoidal and grew separately on [[H2]]/CO2 and formate. [[Ax23T]] grew on NH4 + and by fixin...; ...ed per mole of CH4 produced) when grown on 10 kPa [[H2]] relative to 160 kPa H2, suggesting that it is cap...; ...uced) when grown on 10 kPa H2 relative to 160 kPa [[H2]], suggesting that it is capable of a metabolic tra...; ... is capable of a metabolic trade-off with varying [[H2]] availability. Phylogenetic analysis based on 16S ...	AUTO:Ax23T	Ax23T	uses_as_electron_donor	chemical_name	H2	H2	1	0	0	METPO:2000009	uses as electron donor	label	CHEBI:18276	CHEBI:18276	dihydrogen	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	275	out:biolink:subclass_of:CHEBI:138675|out:biolink:subclass_of:CHEBI:25362|out:biolink:subclass_of:CHEBI:33260|out:biolink:related_to:CHEBI:15022|out:biolink:has_chemical_role:CHEBI:15022
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:N2	N2	351:353	...O2 and formate. [[Ax23T]] grew on NH4 + and by fixing [[N2]], but did not grow on NO3 -. The isolate grew at t...	AUTO:Ax23T	Ax23T	uses_for_growth	chemical_name	N2	N2	1	0	0	METPO:2000012	uses for growth	label	CHEBI:17997	CHEBI:17997	dinitrogen	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	889	out:biolink:subclass_of:CHEBI:138675|out:biolink:subclass_of:CHEBI:25362|out:biolink:subclass_of:CHEBI:33266|out:biolink:related_to:CHEBI:77974|out:biolink:related_to:CHEBI:78017
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:NaCl	NaCl	519:523	... doubling time of 32 min, in the presence of 3-6% [[NaCl]] (optimum 3-4.5%) and pH 4.0-9.0 (optimum 6.0-8.0)...	AUTO:Ax23T	Ax23T	tolerates	chemical_name	NaCl	NaCl	1	0	0	METPO:2000064	tolerates	label	CHEBI:26710	CHEBI:26710	NaCl	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	2636	out:biolink:subclass_of:CHEBI:36093|out:biolink:subclass_of:CHEBI:38702|out:biolink:related_to:CHEBI:149552|out:biolink:has_chemical_role:CHEBI:149552|out:biolink:related_to:CHEBI:228364
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:NH4%2B	NH4+	331:336	...w separately on H2/CO2 and formate. [[Ax23T]] grew on [[NH4 +]] and by fixing N2, but did not grow on NO3 -. The ...	AUTO:Ax23T	Ax23T	uses_for_growth	chemical_name	NH4+	NH4+	1	0	0	METPO:2000012	uses for growth	label	CHEBI:28938	CHEBI:28938	ammonium	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	2281	in:biolink:related_to:CHEBI:16134|out:biolink:subclass_of:CHEBI:35106|out:biolink:subclass_of:CHEBI:50313|out:biolink:subclass_of:CHEBI:60242|out:biolink:related_to:CHEBI:23357
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:NO3-	NO3-	375:380	...ew on NH4 + and by fixing N2, but did not grow on [[NO3 -]]. The isolate grew at temperatures ranging from 33...	AUTO:Ax23T	Ax23T	does_not_use_for_growth	chemical_name	NO3-		1	0	0	METPO:2000038	does not use for growth	label						0	
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:3-6%25%20NaCl	3-6% NaCl	514:518; 519:523	The isolate grew at temperatures ranging from 33 to 75 °C (optimum 73 °C) and a minimum doubling time of 32 min, in the presence of [[3-6%]] [[NaCl]] (optimum 3-4.5%) and pH 4.0-9.0 (optimum 6.0-8.0).	AUTO:Ax23T	Ax23T	has range NaCl observation	concentration	NaCl	3-6% NaCl	1	0	0	METPO:2000509	has range NaCl observation	kg_microbe_metpo	CHEBI:26710	CHEBI:26710	3-6% NaCl	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	context_concentration	2636	out:biolink:subclass_of:CHEBI:36093|out:biolink:subclass_of:CHEBI:38702|out:biolink:related_to:CHEBI:149552|out:biolink:has_chemical_role:CHEBI:149552|out:biolink:related_to:CHEBI:228364
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:optimum%203-4.5%25%20NaCl	optimum 3-4.5% NaCl	519:523; 533:539	The isolate grew at temperatures ranging from 33 to 75 °C (optimum 73 °C) and a minimum doubling time of 32 min, in the presence of 3-6% [[NaCl]] (optimum [[3-4.5%]]) and pH 4.0-9.0 (optimum 6.0-8.0).	AUTO:Ax23T	Ax23T	has optimum NaCl observation	optimum	NaCl	optimum 3-4.5% NaCl	1	0	0	METPO:2000507	has optimum NaCl observation	kg_microbe_metpo	CHEBI:26710	CHEBI:26710	optimum 3-4.5% NaCl	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	context_optimum	2636	out:biolink:subclass_of:CHEBI:36093|out:biolink:subclass_of:CHEBI:38702|out:biolink:related_to:CHEBI:149552|out:biolink:has_chemical_role:CHEBI:149552|out:biolink:related_to:CHEBI:228364
3	00003-41773501-abstract.txt	41773501	pH_observation	phenotype_observation	AUTO:pH%20optimum%206.0-8.0	pH optimum 6.0-8.0	557:572	The isolate grew at temperatures ranging from 33 to 75 °C (optimum 73 °C) and a minimum doubling time of 32 min, in the presence of 3-6% NaCl (optimum 3-4.5%) and pH 4.0-9.0 ([[optimum 6.0-8.0]]).	AUTO:Ax23T	Ax23T	has optimum pH observation	optimum	pH		0	0	0	METPO:2000501	has optimum pH observation	kg_microbe_metpo	METPO:1001013	METPO:1001013	optimum pH observation	biolink:OntologyClass	kg_microbe_metpo	0	
3	00003-41773501-abstract.txt	41773501	pH_observation	phenotype_observation	AUTO:pH%20range%204.0-9.0	pH range 4.0-9.0	545:555	The isolate grew at temperatures ranging from 33 to 75 °C (optimum 73 °C) and a minimum doubling time of 32 min, in the presence of 3-6% NaCl (optimum 3-4.5%) and [[pH 4.0-9.0]] (optimum 6.0-8.0).	AUTO:Ax23T	Ax23T	has range pH observation	range	pH		0	0	0	METPO:2000503	has range pH observation	kg_microbe_metpo	METPO:1001015	METPO:1001015	pH range observation	biolink:OntologyClass	kg_microbe_metpo	0	
3	00003-41773501-abstract.txt	41773501	temperature_observation	phenotype_observation	AUTO:temperature%20optimum%2073%20%C2%B0C	temperature optimum 73 °C	441:454	The isolate grew at temperatures ranging from 33 to 75 °C ([[optimum 73 °C]]) and a minimum doubling time of 32 min, in the presence of 3-6% NaCl (optimum 3-4.5%) and pH 4.0-9.0 (optimum 6.0-8.0).	AUTO:Ax23T	Ax23T	has optimum temperature observation	optimum	temperature		0	0	0	METPO:2000053	has optimum temperature observation	kg_microbe_metpo	METPO:1001001	METPO:1001001	optimum temperature observation	biolink:OntologyClass	kg_microbe_metpo	0	
3	00003-41773501-abstract.txt	41773501	temperature_observation	phenotype_observation	AUTO:temperature%20range%2033-75%20%C2%B0C	temperature range 33-75 °C	428:439	The isolate grew at temperatures ranging from [[33 to 75 °C]] (optimum 73 °C) and a minimum doubling time of 32 min, in the presence of 3-6% NaCl (optimum 3-4.5%) and pH 4.0-9.0 (optimum 6.0-8.0).	AUTO:Ax23T	Ax23T	has range temperature observation	range	temperature		0	0	0	METPO:2000055	has range temperature observation	kg_microbe_metpo	METPO:1001003	METPO:1001003	temperature range observation	biolink:OntologyClass	kg_microbe_metpo	0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:DSM%20113334T	DSM 113334T	1149:1160	...teri subsp. simiae subsp. nov. (type strain LR66T=[[DSM 113334T]]=LMG 32468T). This expanded taxonomic framework en...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:DSM%20113335T	DSM 113335T	868:879	...actobacillus secundus sp. nov. (type strain LR77T=[[DSM 113335T]]=LMG 32469T) and the novel subspecies L. reuteri s...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:DSM%20113336T	DSM 113336T	1065:1076	... subsp. peregrinus subsp. nov. (type strain LR51T=[[DSM 113336T]]=LMG 32467T) and L. reuteri subsp. simiae subsp. n...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:DSM%20113337T	DSM 113337T	980:991	...bsp. pararodentium subsp. nov. (type strain mlc3T=[[DSM 113337T]]=LMG 32470T), L. reuteri subsp. peregrinus subsp. ...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LMG%2032467T	LMG 32467T	1077:1087	...grinus subsp. nov. (type strain LR51T=DSM 113336T=[[LMG 32467T]]) and L. reuteri subsp. simiae subsp. nov. (type s...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LMG%2032468T	LMG 32468T	1161:1171	...simiae subsp. nov. (type strain LR66T=DSM 113334T=[[LMG 32468T]]). This expanded taxonomic framework enhances our ...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LMG%2032469T	LMG 32469T	880:890	... secundus sp. nov. (type strain LR77T=DSM 113335T=[[LMG 32469T]]) and the novel subspecies L. reuteri subsp. parar...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LMG%2032470T	LMG 32470T	992:1002	...entium subsp. nov. (type strain mlc3T=DSM 113337T=[[LMG 32470T]]), L. reuteri subsp. peregrinus subsp. nov. (type ...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LR51T	LR51T	392:397; 1059:1064	... LR80 (lineage X), mlc3T and LR92 (lineage VIII), [[LR51T]] and LR88 (lineage VII) and LR66T and LR52 (lineag...; ...euteri subsp. peregrinus subsp. nov. (type strain [[LR51T]]=DSM 113336T=LMG 32467T) and L. reuteri subsp. sim...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LR52	LR52	435:439	...VIII), LR51T and LR88 (lineage VII) and LR66T and [[LR52]] (lineage IX). Analyses of pairwise average nucleo...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LR66T	LR66T	425:430; 1143:1148	... (lineage VIII), LR51T and LR88 (lineage VII) and [[LR66T]] and LR52 (lineage IX). Analyses of pairwise avera...; ...L. reuteri subsp. simiae subsp. nov. (type strain [[LR66T]]=DSM 113334T=LMG 32468T). This expanded taxonomic ...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LR77T	LR77T	333:338; 862:867	...faeces of rodents and primates, including strains [[LR77T]] and LR80 (lineage X), mlc3T and LR92 (lineage VII...; ...imosilactobacillus secundus sp. nov. (type strain [[LR77T]]=DSM 113335T=LMG 32469T) and the novel subspecies ...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LR80	LR80	343:347	...rodents and primates, including strains LR77T and [[LR80]] (lineage X), mlc3T and LR92 (lineage VIII), LR51T...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LR88	LR88	402:406	...eage X), mlc3T and LR92 (lineage VIII), LR51T and [[LR88]] (lineage VII) and LR66T and LR52 (lineage IX). An...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:LR92	LR92	371:375	...ing strains LR77T and LR80 (lineage X), mlc3T and [[LR92]] (lineage VIII), LR51T and LR88 (lineage VII) and ...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	strains	strain	AUTO:mlc3T	mlc3T	361:366; 974:979	...es, including strains LR77T and LR80 (lineage X), [[mlc3T]] and LR92 (lineage VIII), LR51T and LR88 (lineage ...; ...eri subsp. pararodentium subsp. nov. (type strain [[mlc3T]]=DSM 113337T=LMG 32470T), L. reuteri subsp. peregr...							0	0	1									0	
4	00004-41790565-abstract.txt	41790565	study_taxa	taxon_candidate	AUTO:Limosilactobacillus%20reuteri	Limosilactobacillus reuteri	83:110	...analysis of representative strains of the species [[Limosilactobacillus reuteri]] identified eight lineages that differ from the si...							0	1	0				NCBITaxon:1598	NCBITaxon:1598|kgmicrobe.strain:bacdive_177005	Limosilactobacillus reuteri	biolink:OrganismTaxon	name	107	out:biolink:subclass_of:NCBITaxon:2742598|out:METPO:2000517:mediadive.medium:11|out:METPO:2000517:mediadive.medium:381|out:METPO:2000517:mediadive.medium:339|out:METPO:2000517:mediadive.medium:1203a
4	00004-41790565-abstract.txt	41790565	study_taxa	taxon_candidate	AUTO:Limosilactobacillus%20reuteri%20subsp.%20pararodentium	Limosilactobacillus reuteri subsp. pararodentium									0	1	0									0	
4	00004-41790565-abstract.txt	41790565	study_taxa	taxon_candidate	AUTO:Limosilactobacillus%20reuteri%20subsp.%20peregrinus	Limosilactobacillus reuteri subsp. peregrinus									0	1	0									0	
4	00004-41790565-abstract.txt	41790565	study_taxa	taxon_candidate	AUTO:Limosilactobacillus%20reuteri%20subsp.%20simiae	Limosilactobacillus reuteri subsp. simiae									0	1	0									0	
4	00004-41790565-abstract.txt	41790565	study_taxa	taxon_candidate	AUTO:Limosilactobacillus%20secundus	Limosilactobacillus secundus	811:839	... reuteri. Therefore, we propose the novel species [[Limosilactobacillus secundus]] sp. nov. (type strain LR77T=DSM 113335T=LMG 32469...							0	1	0									0	
5	00005-41649942-abstract.txt	41649942	strains	strain	AUTO:MNWGS51	MNWGS51	1477:1484	...C. pseudodiphtheriticum MNWGS56 and C. propinquum [[MNWGS51]] (27.4 and 28.4%, respectively). Although there ar...							0	0	1									0	
5	00005-41649942-abstract.txt	41649942	strains	strain	AUTO:MNWGS56	MNWGS56	1451:1458	...were low when compared to C. pseudodiphtheriticum [[MNWGS56]] and C. propinquum MNWGS51 (27.4 and 28.4%, respec...							0	0	1									0	
5	00005-41649942-abstract.txt	41649942	strains	strain	AUTO:MNWGS58T	MNWGS58T	425:433; 540:548; 881:889; 1392:1400; 1776:1784	...iratory health. In this paper, we present isolate [[MNWGS58T]] isolated from the nasopharynx of a South African ...; ... Genomic analysis of the whole-genome sequence of [[MNWGS58T]] revealed that it is phylogenetically closely rela...; ...esorption/ionization time-of-flight MS identified [[MNWGS58T]] as C. pseudodiphtheriticum. The API Coryne assay ...; ....9 mol%. Digital DNA-DNA hybridization values for [[MNWGS58T]] were low when compared to C. pseudodiphtheriticum...; ...um drakensteinense sp. nov., with the type strain [[MNWGS58T]] (=TSD-445T=NCTC 15058T). It will be important to ...							0	0	1									0	
5	00005-41649942-abstract.txt	41649942	strains	strain	AUTO:NCTC%2015058T	NCTC 15058T	1796:1807	...p. nov., with the type strain MNWGS58T (=TSD-445T=[[NCTC 15058T]]). It will be important to elucidate the role of t...							0	0	1									0	
